expr	time	Date
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28419025	2018-08-18
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2512297794	2018-08-18
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	32716815	2018-08-18
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2533252156	2018-08-18
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28542825	2018-08-19
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2568449202	2018-08-19
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28495541	2018-08-19
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2582481931	2018-08-19
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28137450	2018-08-22
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2474595429	2018-08-22
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28567832	2018-08-22
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2493078052	2018-08-22
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	27914571	2018-08-20
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2535302889	2018-08-20
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28188005	2018-08-22
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2529775657	2018-08-22
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28006998	2018-08-22
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2490708256	2018-08-22
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	27908212	2018-08-23
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2502978183	2018-08-23
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28169031	2018-08-23
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2493149591	2018-08-23
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	30105896	2018-08-23
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2583940430	2018-08-23
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	35352992	2018-08-23
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2621745299	2018-08-23
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28515083	2018-08-23
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2482795447	2018-08-23
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28796382	2018-08-23
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2492992980	2018-08-23
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28199751	2018-08-23
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2482011786	2018-08-23
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28116928	2018-08-23
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2477328493	2018-08-23
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28351544	2018-08-23
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2479696644	2018-08-23
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28662659	2018-08-23
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2528642330	2018-08-23
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28045851	2018-08-23
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2470753812	2018-08-23
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28695788	2018-08-24
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2522179686	2018-08-24
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	29076476	2018-08-27
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2559912274	2018-08-27
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28287093	2018-08-28
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2494851238	2018-08-28
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28195836	2018-08-28
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2506329976	2018-08-28
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28274443	2018-08-28
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2553553837	2018-08-28
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28324438	2018-08-28
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2556634871	2018-08-28
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28272937	2018-08-29
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2488522619	2018-08-29
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28853003	2018-08-29
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2534320108	2018-08-29
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	31658782	2018-08-30
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2637397220	2018-08-30
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28130197	2018-08-30
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2510357915	2018-08-30
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28427458	2018-08-30
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2472773183	2018-08-30
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28520522	2018-08-30
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2571318470	2018-08-30
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	27819382	2018-08-30
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2489163816	2018-08-30
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28304276	2018-08-31
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2569524662	2018-08-31
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28502751	2018-08-31
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2576703207	2018-08-31
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	27969970	2018-09-01
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2487333567	2018-09-01
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28422940	2018-09-01
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2515670069	2018-09-01
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28203675	2018-09-04
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2574440896	2018-09-04
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28425341	2018-09-04
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2305336668	2018-09-04
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	29996880	2018-09-04
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2697723286	2018-09-04
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28163919	2018-09-04
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2487554784	2018-09-04
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28529583	2018-09-07
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2511116138	2018-09-07
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28097093	2018-09-07
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2485968169	2018-09-07
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28182868	2018-09-13
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2478502492	2018-09-13
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	29178859	2018-09-13
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2199440716	2018-09-13
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	28600901	2018-09-13
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2187086466	2018-09-13
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	29012679	2018-09-25
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2208962906	2018-09-25
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	30530008	2018-09-25
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2222110485	2018-09-25
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	30281839	2018-09-25
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2201475044	2018-09-25
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	30439053	2018-09-25
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2243727161	2018-09-25
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	30149923	2018-09-25
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2207611526	2018-09-25
"s1314[, income_tax(Taxable_Income, ""2013-14"", .dots.ATO = .SD)]"	30308945	2018-09-25
sfall[, income_tax(Taxable_Income, fy.year, .dots.ATO = .SD)]	2194242581	2018-09-25
