expr	time	Date
"model_income_tax(s1314, ""2015-16"")"	266942003	2018-08-22
model_thresholds	222711835	2018-08-22
model_medicare	274013323	2018-08-22
model_cgt	265181626	2018-08-22
model_lito	355111099	2018-08-22
"model_income_tax(s1314, ""2015-16"")"	256638455	2018-08-22
model_thresholds	221534235	2018-08-22
model_medicare	274645192	2018-08-22
model_cgt	363002223	2018-08-22
model_lito	226855420	2018-08-22
"model_income_tax(s1314, ""2015-16"")"	270597381	2018-08-23
model_thresholds	228174573	2018-08-23
model_medicare	288045434	2018-08-23
model_cgt	276133003	2018-08-23
model_lito	353607929	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	264763593	2018-08-23
model_thresholds	225771787	2018-08-23
model_medicare	282239958	2018-08-23
model_cgt	367600585	2018-08-23
model_lito	232541631	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	272887526	2018-08-23
model_thresholds	224236089	2018-08-23
model_medicare	280458499	2018-08-23
model_cgt	270888618	2018-08-23
model_lito	357350046	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	256928789	2018-08-23
model_thresholds	226708446	2018-08-23
model_medicare	277993370	2018-08-23
model_cgt	366134458	2018-08-23
model_lito	226535872	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	290638263	2018-08-23
model_thresholds	234399890	2018-08-23
model_medicare	291788756	2018-08-23
model_cgt	286575393	2018-08-23
model_lito	372889544	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	264105523	2018-08-23
model_thresholds	223826188	2018-08-23
model_medicare	285972136	2018-08-23
model_cgt	401075441	2018-08-23
model_lito	236550289	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	277391017	2018-08-23
model_thresholds	224628221	2018-08-23
model_medicare	278266838	2018-08-23
model_cgt	273859121	2018-08-23
model_lito	359241734	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	257996159	2018-08-23
model_thresholds	227121359	2018-08-23
model_medicare	279382697	2018-08-23
model_cgt	383980968	2018-08-23
model_lito	231174290	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	279811572	2018-08-23
model_thresholds	223613557	2018-08-23
model_medicare	279157116	2018-08-23
model_cgt	275356872	2018-08-23
model_lito	360200379	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	258286192	2018-08-23
model_thresholds	224092427	2018-08-23
model_medicare	277959337	2018-08-23
model_cgt	372285686	2018-08-23
model_lito	228318234	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	272036101	2018-08-23
model_thresholds	224933313	2018-08-23
model_medicare	275135206	2018-08-23
model_cgt	271593973	2018-08-23
model_lito	359051692	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	257235387	2018-08-23
model_thresholds	222532936	2018-08-23
model_medicare	279765191	2018-08-23
model_cgt	381452291	2018-08-23
model_lito	229572332	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	284217482	2018-08-23
model_thresholds	224487873	2018-08-23
model_medicare	279551959	2018-08-23
model_cgt	272636646	2018-08-23
model_lito	361326177	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	261498539	2018-08-23
model_thresholds	230424964	2018-08-23
model_medicare	283599769	2018-08-23
model_cgt	385696470	2018-08-23
model_lito	228320945	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	281857163	2018-08-23
model_thresholds	226010620	2018-08-23
model_medicare	290326243	2018-08-23
model_cgt	269731197	2018-08-23
model_lito	357156992	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	260877213	2018-08-23
model_thresholds	222935609	2018-08-23
model_medicare	280786782	2018-08-23
model_cgt	389779819	2018-08-23
model_lito	231317951	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	274989437	2018-08-23
model_thresholds	224639966	2018-08-23
model_medicare	290355157	2018-08-23
model_cgt	277054904	2018-08-23
model_lito	362244463	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	262689994	2018-08-23
model_thresholds	226201265	2018-08-23
model_medicare	281456899	2018-08-23
model_cgt	388639866	2018-08-23
model_lito	236052444	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	266370972	2018-08-23
model_thresholds	223690056	2018-08-23
model_medicare	278031017	2018-08-23
model_cgt	275767375	2018-08-23
model_lito	356293819	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	256317101	2018-08-23
model_thresholds	223325030	2018-08-23
model_medicare	281123497	2018-08-23
model_cgt	371413479	2018-08-23
model_lito	230396954	2018-08-23
"model_income_tax(s1314, ""2015-16"")"	270332044	2018-08-24
model_thresholds	226678629	2018-08-24
model_medicare	278403573	2018-08-24
model_cgt	277448542	2018-08-24
model_lito	365691126	2018-08-24
"model_income_tax(s1314, ""2015-16"")"	258528639	2018-08-24
model_thresholds	225189914	2018-08-24
model_medicare	288149943	2018-08-24
model_cgt	375640791	2018-08-24
model_lito	235518459	2018-08-24
"model_income_tax(s1314, ""2015-16"")"	277280786	2018-08-27
model_thresholds	226028389	2018-08-27
model_medicare	278580363	2018-08-27
model_cgt	274472617	2018-08-27
model_lito	377682466	2018-08-27
"model_income_tax(s1314, ""2015-16"")"	261134417	2018-08-27
model_thresholds	226576831	2018-08-27
model_medicare	292354365	2018-08-27
model_cgt	389343716	2018-08-27
model_lito	232143476	2018-08-27
