Age,obsTime,obsValue
0,1981-Q3,234014
0,1981-Q4,231333
0,1982-Q1,233826
0,1982-Q2,236108
0,1982-Q3,237201
0,1982-Q4,236544
0,1983-Q1,239138
0,1983-Q2,240717
0,1983-Q3,242218
0,1983-Q4,239451
0,1984-Q1,240080
0,1984-Q2,239221
0,1984-Q3,239915
0,1984-Q4,236811
0,1985-Q1,238998
0,1985-Q2,241022
0,1985-Q3,241492
0,1985-Q4,239161
0,1986-Q1,238692
0,1986-Q2,238584
0,1986-Q3,239717
0,1986-Q4,242236
0,1987-Q1,241353
0,1987-Q2,241989
0,1987-Q3,243077
0,1987-Q4,245067
0,1988-Q1,245851
0,1988-Q2,245514
0,1988-Q3,246537
0,1988-Q4,247157
0,1989-Q1,248893
0,1989-Q2,249558
0,1989-Q3,249102
0,1989-Q4,249470
0,1990-Q1,251770
0,1990-Q2,256554
0,1990-Q3,257863
0,1990-Q4,257309
0,1991-Q1,257626
0,1991-Q2,259085
0,1991-Q3,259395
0,1991-Q4,257094
0,1992-Q1,257598
0,1992-Q2,258028
0,1992-Q3,260270
0,1992-Q4,259118
0,1993-Q1,258410
0,1993-Q2,258484
0,1993-Q3,259577
0,1993-Q4,258268
0,1994-Q1,258504
0,1994-Q2,257403
0,1994-Q3,258883
0,1994-Q4,257926
0,1995-Q1,257754
0,1995-Q2,257572
0,1995-Q3,259427
0,1995-Q4,257230
0,1996-Q1,255807
0,1996-Q2,254191
0,1996-Q3,255910
0,1996-Q4,256127
0,1997-Q1,253837
0,1997-Q2,253375
0,1997-Q3,254547
0,1997-Q4,253202
0,1998-Q1,250632
0,1998-Q2,249279
0,1998-Q3,251417
0,1998-Q4,250661
0,1999-Q1,250431
0,1999-Q2,250617
0,1999-Q3,253209
0,1999-Q4,252238
0,2000-Q1,251814
0,2000-Q2,251139
0,2000-Q3,253349
0,2000-Q4,253508
0,2001-Q1,252173
0,2001-Q2,251320
0,2001-Q3,252780
0,2001-Q4,250687
0,2002-Q1,250034
0,2002-Q2,248820
0,2002-Q3,250638
0,2002-Q4,250286
0,2003-Q1,248972
0,2003-Q2,248959
0,2003-Q3,251760
0,2003-Q4,251894
0,2004-Q1,253024
0,2004-Q2,251809
0,2004-Q3,253967
0,2004-Q4,252616
0,2005-Q1,253827
0,2005-Q2,257219
0,2005-Q3,261386
0,2005-Q4,263295
0,2006-Q1,264387
0,2006-Q2,266887
0,2006-Q3,272376
0,2006-Q4,274627
0,2007-Q1,279681
0,2007-Q2,283853
0,2007-Q3,287276
0,2007-Q4,287861
0,2008-Q1,290198
0,2008-Q2,291214
0,2008-Q3,293691
0,2008-Q4,294193
0,2009-Q1,294265
0,2009-Q2,295261
0,2009-Q3,295906
0,2009-Q4,295770
0,2010-Q1,296499
0,2010-Q2,297437
0,2010-Q3,295823
0,2010-Q4,291030
0,2011-Q1,290499
0,2011-Q2,290397
0,2011-Q3,294319
0,2011-Q4,295860
0,2012-Q1,301113
0,2012-Q2,305001
0,2012-Q3,307517
0,2012-Q4,309142
0,2013-Q1,309961
