facet,Decile,total_tax_bn,% tax paid
2017-18,1,0,0
2017-18,2,0,0
2017-18,3,0.8,0.4
2017-18,4,3.4,1.6
2017-18,5,7,3.4
2017-18,6,11.9,5.8
2017-18,7,17.6,8.5
2017-18,8,25,12.1
2017-18,9,36.8,17.8
2017-18,10,104,50.4
Baseline,1,0,0
Baseline,2,0.2,0
Baseline,3,3.1,0.8
Baseline,4,8.8,2.3
Baseline,5,16.3,4.3
Baseline,6,23.7,6.3
Baseline,7,32.9,8.7
Baseline,8,46.3,12.2
Baseline,9,67.8,17.9
Baseline,10,180,47.5
Budget 2018,1,0,0
Budget 2018,2,0.1,0
Budget 2018,3,2.9,0.8
Budget 2018,4,8.1,2.3
Budget 2018,5,15.4,4.3
Budget 2018,6,22.8,6.4
Budget 2018,7,32,8.9
Budget 2018,8,44.2,12.3
Budget 2018,9,63.2,17.7
Budget 2018,10,170,47.3
